player_name,country,year,current_position,suggested_position,source,confidence,reason,notes
Paul Burnell,Scotland,1995,TBC,,,,No trusted structured position source found,
Paul Burnell,Scotland,1999,TBC,,,,No trusted structured position source found,
Graham Shiel,Scotland,1991,TBC,,,,No trusted structured position source found,
Graham Shiel,Scotland,1995,TBC,,,,No trusted structured position source found,
Tony Stanger,Scotland,1991,TBC,,,,No trusted structured position source found,
Tony Stanger,Scotland,1995,TBC,,,,No trusted structured position source found,
Alan Watt,Scotland,1991,TBC,,,,No trusted structured position source found,
David Milne,Scotland,1991,TBC,,,,No trusted structured position source found,
Graham Marshall,Scotland,1991,TBC,,,,No trusted structured position source found,
Sean Lineen,Scotland,1991,TBC,,,,No trusted structured position source found,
Martín Terán,Argentina,1991,TBC,,,,No trusted structured position source found,
Martín Terán,Argentina,1995,TBC,,,,No trusted structured position source found,
Eduardo Laborde,Argentina,1991,TBC,,,,No trusted structured position source found,
Francisco Irarrázaval,Argentina,1991,TBC,,,,No trusted structured position source found,
Gustavo Jorge,Argentina,1991,TBC,,,,No trusted structured position source found,
Hernán García Simón,Argentina,1991,TBC,,,,No trusted structured position source found,
Manuel Aguirre,Argentina,1991,TBC,,,,No trusted structured position source found,
Mario Carreras,Argentina,1991,TBC,,,,No trusted structured position source found,
Matías Allen,Argentina,1991,TBC,,,,No trusted structured position source found,
Pablo Garretón,Argentina,1991,TBC,,,,No trusted structured position source found,
Epeli Naituivau,Fiji,1991,TBC,,,,No trusted structured position source found,
Epeli Naituivau,Fiji,1999,TBC,,,,No trusted structured position source found,
Alifereti Dere,Fiji,1991,TBC,,,,No trusted structured position source found,
Fili Seru,Fiji,1991,TBC,,,,No trusted structured position source found,
Kalaveti Naisoro,Fiji,1991,TBC,,,,No trusted structured position source found,
Laisenia Kato,Fiji,1991,TBC,,,,No trusted structured position source found,
Max Olsson,Fiji,1991,TBC,,,,No trusted structured position source found,
Naibuka Vuli,Fiji,1991,TBC,,,,No trusted structured position source found,
Noa Nadruku,Fiji,1991,TBC,,,,No trusted structured position source found,
Pita Naruma,Fiji,1991,TBC,,,,No trusted structured position source found,
Savenaca Aria,Fiji,1991,TBC,,,,No trusted structured position source found,
Tevita Vonolagi,Fiji,1991,TBC,,,,No trusted structured position source found,
Tomasi Lovo,Fiji,1991,TBC,,,,No trusted structured position source found,
Yukio Motoki,Japan,1991,TBC,,,,No trusted structured position source found,
Yukio Motoki,Japan,1995,TBC,,,,No trusted structured position source found,
Yukio Motoki,Japan,1999,TBC,,,,No trusted structured position source found,
Yukio Motoki,Japan,2003,TBC,,,,No trusted structured position source found,
Terunori Masuho,Japan,1991,TBC,,,,No trusted structured position source found,
Terunori Masuho,Japan,1995,TBC,,,,No trusted structured position source found,
Terunori Masuho,Japan,1999,TBC,,,,No trusted structured position source found,
Hiroyuki Kajihara,Japan,1991,TBC,,,,No trusted structured position source found,
Hiroyuki Kajihara,Japan,1995,TBC,,,,No trusted structured position source found,
Kazuaki Takahashi,Japan,1991,TBC,,,,No trusted structured position source found,
Kazuaki Takahashi,Japan,1995,TBC,,,,No trusted structured position source found,
Masanori Takura,Japan,1991,TBC,,,,No trusted structured position source found,
Masanori Takura,Japan,1995,TBC,,,,No trusted structured position source found,
Osamu Ota,Japan,1991,TBC,,,,No trusted structured position source found,
Osamu Ota,Japan,1995,TBC,,,,No trusted structured position source found,
Yoshihito Yoshida,Japan,1991,TBC,,,,No trusted structured position source found,
Yoshihito Yoshida,Japan,1995,TBC,,,,No trusted structured position source found,
Hirofumi Ouchi,Japan,1991,TBC,,,,No trusted structured position source found,
